ent_loss,entropy,loss
-0.00947,9.47,9.46
-0.00674,6.74,5.69
-0.00581,5.81,5.03
-0.00525,5.25,4.52
-0.00444,4.44,3.79
-0.00511,5.11,4.52
-0.00474,4.74,3.88
-0.00451,4.51,3.58
-0.00429,4.29,3.14
-0.00424,4.24,3.11
-0.00413,4.13,2.96
-0.00372,3.72,2.42
-0.00326,3.26,2.13
-0.00337,3.37,2.45
-0.00374,3.74,2.6
-0.0034,3.4,2.26
-0.00324,3.24,2.08
-0.0039,3.9,2.51
-0.00236,2.36,1.12
-0.00337,3.37,1.82
-0.00263,2.63,1.36
-0.00259,2.59,1.33
-0.00263,2.63,1.56
-0.00267,2.67,1.25
-0.00202,2.02,0.815
-0.00219,2.19,1.06
-0.00307,3.07,1.66
-0.00274,2.74,1.27
-0.00161,1.61,0.676
-0.00146,1.46,0.489
-0.00222,2.22,1.02
-0.00223,2.23,1.03
-0.00208,2.08,0.821
-0.00241,2.41,0.895
-0.00208,2.08,0.77
-0.00206,2.06,0.747
-0.00182,1.82,0.59
-0.00267,2.67,1.03
-0.00173,1.73,0.539
-0.00198,1.98,0.667
-0.00128,1.28,0.422
-0.00236,2.36,0.868
-0.00173,1.73,0.524
-0.0016,1.6,0.528
-0.00145,1.45,0.507
-0.0012,1.2,0.393
-0.00138,1.38,0.37
-0.00124,1.24,0.401
-0.00142,1.42,0.385
-0.00131,1.31,0.52
-0.000856,0.856,0.208
-0.00119,1.19,0.416
-0.00149,1.49,0.472
-0.0012,1.2,0.26
-0.00116,1.16,0.286
-0.00151,1.51,0.394
-0.00118,1.18,0.279
-0.000689,0.689,0.147
-0.000882,0.882,0.214
-0.000889,0.889,0.212
-0.00104,1.04,0.259
-0.000695,0.695,0.161
-0.00126,1.26,0.327
-0.0012,1.2,0.366
-0.000471,0.471,0.0943
-0.000831,0.831,0.18
-0.000766,0.766,0.179
-0.00048,0.48,0.119
-0.00066,0.66,0.16
-0.000935,0.935,0.21
-0.00062,0.62,0.122
-0.000568,0.568,0.133
-0.000606,0.606,0.112
-0.00086,0.86,0.215
-0.000394,0.394,0.0957
-0.000634,0.634,0.162
-0.000408,0.408,0.0915
-0.00036,0.36,0.0679
-0.000332,0.332,0.0559
-0.000334,0.334,0.0575
-0.000429,0.429,0.0786
-0.000448,0.448,0.147
-0.00057,0.57,0.168
-0.000535,0.535,0.125
-0.000554,0.554,0.162
-0.000174,0.174,0.0281
-0.000267,0.267,0.0448
-0.000292,0.292,0.0473
-0.000192,0.192,0.0287
-0.000391,0.391,0.0839
-0.000296,0.296,0.05
-0.000232,0.232,0.0347
-0.000346,0.346,0.0897
-0.000224,0.224,0.0755
-0.000382,0.382,0.0915
-0.00024,0.24,0.0583
-0.000242,0.242,0.0448
-0.00031,0.31,0.0506
-0.000204,0.204,0.0293
-0.0002,0.2,0.0533
-0.000233,0.233,0.0378
-0.000209,0.209,0.0325
-0.000127,0.127,0.0223
-0.000263,0.263,0.0856
-0.000186,0.186,0.0482
-0.000114,0.114,0.0164
-0.000102,0.102,0.0129
-0.000232,0.232,0.0687
-0.000142,0.142,0.0225
-0.00015,0.15,0.0268
-0.000132,0.132,0.0183
-0.000239,0.239,0.054
-0.000109,0.109,0.0158
-0.000236,0.236,0.147
-0.000109,0.109,0.0168
-3.72e-05,0.0372,0.00429
-0.000124,0.124,0.0337
-0.000127,0.127,0.0331
-6.11e-05,0.0611,0.00778
-6.03e-05,0.0603,0.0076
-0.000142,0.142,0.0204
-9.44e-05,0.0944,0.0505
-0.000106,0.106,0.0525
-8.49e-05,0.0849,0.0117
-0.000114,0.114,0.0252
-0.000133,0.133,0.0384
-6.83e-05,0.0683,0.0353
-6.99e-05,0.0699,0.0095
-6.04e-05,0.0604,0.00785
-9.37e-05,0.0937,0.0148
-5.02e-05,0.0502,0.0064
-4.01e-05,0.0401,0.00495
-7.66e-05,0.0766,0.0131
-6.88e-05,0.0688,0.0433
-6.01e-05,0.0601,0.00802
-6.63e-05,0.0663,0.00858
-3.66e-05,0.0366,0.00436
-2.28e-05,0.0228,0.00245
-0.000118,0.118,0.0546
-0.000105,0.105,0.0558
-2.83e-05,0.0283,0.00317
-0.000102,0.102,0.0445
-7.68e-05,0.0768,0.0415
-0.000308,0.308,0.112
-7.08e-05,0.0708,0.0099
-6.04e-05,0.0604,0.00897
-5.82e-05,0.0582,0.029
-7.73e-05,0.0773,0.027
-4.06e-05,0.0406,0.00503
-7.88e-05,0.0788,0.0298
-8.6e-05,0.086,0.0316
-2.48e-05,0.0248,0.00302
-2.42e-05,0.0242,0.00265
-6.18e-05,0.0618,0.027
-3.95e-05,0.0395,0.0143
-9.7e-05,0.097,0.0567
-3.88e-05,0.0388,0.00443
-6.55e-05,0.0655,0.0251
-0.000109,0.109,0.0512
-1.29e-05,0.0129,0.00148
-8.28e-05,0.0828,0.0475
-8.43e-05,0.0843,0.0477
-6.3e-05,0.063,0.0395
-8.5e-05,0.085,0.0336
-6.38e-05,0.0638,0.0231
-3.17e-05,0.0317,0.00449
-2e-05,0.02,0.00233
-2.2e-05,0.022,0.00238
-8.1e-05,0.081,0.0531
-4.3e-05,0.043,0.0118
-2.46e-05,0.0246,0.0032
-1.88e-05,0.0188,0.00219
-5.68e-05,0.0568,0.0152
-4.58e-05,0.0458,0.0113
-1.68e-05,0.0168,0.00181
-9.38e-06,0.00938,0.000966
-4.36e-05,0.0436,0.0364
-5.17e-05,0.0517,0.0232
-1.28e-05,0.0128,0.00139
-5.83e-05,0.0583,0.0365
-2.38e-05,0.0238,0.00261
-1.99e-05,0.0199,0.00225
-9.14e-05,0.0914,0.0743
-6.79e-05,0.0679,0.0493
-2.19e-05,0.0219,0.00235
-1.04e-05,0.0104,0.00106
-6.46e-06,0.00646,0.000653
-3.54e-05,0.0354,0.00967
-4.88e-05,0.0488,0.0217
-1.85e-05,0.0185,0.00227
-5.3e-05,0.053,0.0422
-2.51e-05,0.0251,0.0483
-1.54e-05,0.0154,0.00167
-8.56e-06,0.00856,0.000827
-1.8e-05,0.018,0.0019
-1.56e-05,0.0156,0.00164
-6.33e-05,0.0633,0.0421
-1.11e-05,0.0111,0.00115
-1.14e-05,0.0114,0.00116
-1.02e-05,0.0102,0.00106
-4.19e-05,0.0419,0.0347
-4.36e-05,0.0436,0.0188
-6.81e-05,0.0681,0.0434
-2.88e-05,0.0288,0.0145
-7.85e-05,0.0785,0.0959
-3.64e-05,0.0364,0.0303
-1.08e-05,0.0108,0.00117
-6.02e-05,0.0602,0.0383
-7.81e-05,0.0781,0.0497
-5.97e-06,0.00597,0.000593
-4.04e-05,0.0404,0.0476
-5.04e-05,0.0504,0.0431
-1.52e-05,0.0152,0.00156
-3.25e-05,0.0325,0.0176
-7.5e-06,0.0075,0.000725
-9.75e-06,0.00975,0.00099
-8.56e-06,0.00856,0.000867
-5.06e-05,0.0506,0.029
-8.67e-06,0.00867,0.000906
-7.86e-05,0.0786,0.0925
-3.79e-06,0.00379,0.000359
-3.88e-05,0.0388,0.0488
-3.21e-05,0.0321,0.0192
-4.98e-05,0.0498,0.0373
-9.46e-05,0.0946,0.0869
-2.99e-05,0.0299,0.0127
-9.78e-05,0.0978,0.0839
-1.12e-05,0.0112,0.00119
-3.48e-05,0.0348,0.0282
-0.000162,0.162,0.143
-6.6e-05,0.066,0.053
-0.000135,0.135,0.0343
-2.93e-05,0.0293,0.00994
-5.7e-05,0.057,0.0527
-5.54e-06,0.00554,0.000546
-5.74e-05,0.0574,0.0432
-2.98e-05,0.0298,0.0132
-4.21e-05,0.0421,0.017
-4.59e-05,0.0459,0.0219
-4.7e-05,0.047,0.0339
-3.67e-05,0.0367,0.0226
-2.9e-05,0.029,0.011
-4.33e-06,0.00433,0.000424
-4.38e-06,0.00438,0.000407
-2.44e-05,0.0244,0.00695
-6.41e-05,0.0641,0.0262
-2.94e-05,0.0294,0.0104
-2.54e-06,0.00254,0.000229
-4.63e-05,0.0463,0.033
-4.2e-05,0.042,0.0403
-6.1e-06,0.0061,0.000595
-4.13e-05,0.0413,0.0459
-2.62e-05,0.0262,0.0125
-5.51e-06,0.00551,0.000582
-3.04e-05,0.0304,0.0214
-7.02e-06,0.00702,0.00075
-2.32e-05,0.0232,0.00811
-7.49e-05,0.0749,0.0543
-2.67e-05,0.0267,0.0152
-2.64e-06,0.00264,0.000228
-2.84e-06,0.00284,0.000251
-4.14e-06,0.00414,0.00039
-4.47e-06,0.00447,0.000412
-4.23e-05,0.0423,0.00585
-4.57e-05,0.0457,0.037
-3.97e-05,0.0397,0.0522
-2.96e-06,0.00296,0.000278
-1.48e-06,0.00148,0.00013
-2.89e-06,0.00289,0.000277
-2.37e-06,0.00237,0.00021
-7.39e-06,0.00739,0.000771
-3.93e-05,0.0393,0.0181
-4.28e-06,0.00428,0.000392
-6.61e-06,0.00661,0.000606
-1.02e-05,0.0102,0.00106
-5.5e-06,0.0055,0.000515
-6.33e-05,0.0633,0.0534
-4.01e-05,0.0401,0.0469
-2.91e-05,0.0291,0.0281
-2.94e-05,0.0294,0.0199
-2.7e-05,0.027,0.0108
-4.1e-05,0.041,0.022
-4.51e-05,0.0451,0.041
-5.16e-05,0.0516,0.0641
-2.58e-06,0.00258,0.000222
-3.86e-06,0.00386,0.000366
-7.2e-05,0.072,0.0278
-3.14e-05,0.0314,0.0296
-2.31e-05,0.0231,0.0471
-5.24e-05,0.0524,0.0528
-3.26e-05,0.0326,0.0253
-8.79e-06,0.00879,0.000909
-3.29e-06,0.00329,0.000294
-6.15e-06,0.00615,0.00062
-5.55e-06,0.00555,0.000537
-5.03e-05,0.0503,0.0621
-3.76e-06,0.00376,0.000354
-3.99e-05,0.0399,0.0279
-2.56e-05,0.0256,0.0177
-4.56e-06,0.00456,0.000431
-4.92e-05,0.0492,0.0298
-4.58e-06,0.00458,0.000426
-2.22e-06,0.00222,0.00019
-2.78e-05,0.0278,0.0348
-4.03e-05,0.0403,0.0377
-6.02e-05,0.0602,0.0363
-3.62e-05,0.0362,0.0434
-1.98e-05,0.0198,0.0081
-3.99e-06,0.00399,0.000414
-4.57e-05,0.0457,0.0108
-2.95e-05,0.0295,0.027
-6.87e-06,0.00687,0.000787
-4.21e-06,0.00421,0.000406
-4.58e-06,0.00458,0.000426
-5.22e-05,0.0522,0.0661
-3.49e-06,0.00349,0.00032
-4.55e-06,0.00455,0.000439
-1.63e-06,0.00163,0.00014
-4.46e-06,0.00446,0.000438
-3.15e-06,0.00315,0.000342
-2.11e-06,0.00211,0.000178
-2.49e-05,0.0249,0.0238
-2.14e-05,0.0214,0.0408
-1.61e-06,0.00161,0.000134
-2.33e-06,0.00233,0.000198
-2.6e-05,0.026,0.0221
-2.5e-05,0.025,0.0167
-9.73e-05,0.0973,0.0702
-2.16e-05,0.0216,0.0423
-2.3e-06,0.0023,0.000205
-3.2e-06,0.0032,0.000285
-2.15e-05,0.0215,0.0101
-2.49e-06,0.00249,0.000216
-8.35e-05,0.0835,0.0214
-1.81e-05,0.0181,0.00235
-3.59e-06,0.00359,0.000337
-4.77e-05,0.0477,0.0336
-3.83e-06,0.00383,0.00035
-2.2e-06,0.0022,0.000189
-3.9e-06,0.0039,0.000379
-3.21e-06,0.00321,0.000303
-3.09e-06,0.00309,0.000278
-3.39e-06,0.00339,0.000324
-3.43e-05,0.0343,0.0612
-4.67e-05,0.0467,0.0497
-3.11e-06,0.00311,0.000272
-1.96e-05,0.0196,0.00751
-2.3e-06,0.0023,0.000217
-9.85e-05,0.0985,0.0905
-2.68e-05,0.0268,0.0202
-9.4e-07,0.00094,7.56e-05
-3.8e-05,0.038,0.037
-3.56e-06,0.00356,0.000332
-9.85e-07,0.000985,8.27e-05
-1.1e-06,0.0011,8.77e-05
-3.18e-06,0.00318,0.000296
-2.41e-05,0.0241,0.0347
-3.35e-06,0.00335,0.000316
-0.000119,0.119,0.0722
-3.7e-05,0.037,0.0133
-2.73e-05,0.0273,0.013
-4.84e-06,0.00484,0.000463
-2.84e-06,0.00284,0.000255
-2.64e-05,0.0264,0.0187
-2.65e-06,0.00265,0.000231
-2.47e-05,0.0247,0.014
-2.62e-06,0.00262,0.000231
-2.26e-06,0.00226,0.000197
-2.39e-05,0.0239,0.0122
-3.96e-05,0.0396,0.0363
-2.05e-06,0.00205,0.000173
-2.55e-06,0.00255,0.000226
-1.89e-06,0.00189,0.000159
-3.73e-05,0.0373,0.0356
-2.05e-06,0.00205,0.000179
-1.89e-06,0.00189,0.000161
-2.33e-05,0.0233,0.0106
-1.32e-06,0.00132,0.000121
-0.000138,0.138,0.0864
-2.55e-06,0.00255,0.000222
-7.58e-05,0.0758,0.0792
-2.02e-06,0.00202,0.000183
-3.09e-06,0.00309,0.000278
-4.52e-06,0.00452,0.000441
-2.91e-06,0.00291,0.000271
-1.77e-06,0.00177,0.000151
-1.54e-06,0.00154,0.000131
-4.23e-06,0.00423,0.000407
-2.72e-05,0.0272,0.0241
-1.3e-06,0.0013,0.000109
-2.4e-06,0.0024,0.000206
-8.55e-05,0.0855,0.0681
-3.46e-05,0.0346,0.0378
-2.55e-05,0.0255,0.0146
-2.49e-05,0.0249,0.0291
-2.51e-06,0.00251,0.000217
-3.91e-05,0.0391,0.0303
-2.37e-05,0.0237,0.0178
-2.68e-05,0.0268,0.0256
-4.03e-05,0.0403,0.0401
-3.45e-05,0.0345,0.0377
-3.53e-05,0.0353,0.0457
-2.03e-06,0.00203,0.000178
-6.73e-06,0.00673,0.000815
-3.73e-05,0.0373,0.0152
-2.69e-05,0.0269,0.0041
-5.24e-06,0.00524,0.000534
-5.92e-05,0.0592,0.0587
-2.61e-05,0.0261,0.0247
-2.89e-06,0.00289,0.000268
-1.7e-06,0.0017,0.000153
-4.29e-06,0.00429,0.000409
-2.72e-05,0.0272,0.0219
-2.08e-05,0.0208,0.00949
-2.4e-06,0.0024,0.000231
-2.57e-05,0.0257,0.0167
-3.04e-05,0.0304,0.0113
-2.6e-05,0.026,0.0212
-2.36e-05,0.0236,0.0142
-3.9e-05,0.039,0.0316
-2.52e-05,0.0252,0.0182
-7.11e-05,0.0711,0.0821
-1.53e-06,0.00153,0.000125
-2.25e-05,0.0225,0.0133
-2.28e-06,0.00228,0.000197
-2.79e-05,0.0279,0.00451
-3.38e-05,0.0338,0.0238
-2.8e-05,0.028,0.0145
-6.51e-06,0.00651,0.000721
-1.52e-06,0.00152,0.000128
-1.07e-06,0.00107,8.92e-05
-2.65e-06,0.00265,0.000242
-8.19e-05,0.0819,0.0789
-5.98e-05,0.0598,0.062
-2.01e-05,0.0201,0.00901
-3.92e-06,0.00392,0.000427
-2.45e-06,0.00245,0.000208
-4.84e-05,0.0484,0.0367
-9.74e-07,0.000974,8.08e-05
-2.55e-06,0.00255,0.000225
-4.77e-05,0.0477,0.0453
-2.89e-05,0.0289,0.0196
-6.65e-05,0.0665,0.0629
-9.14e-05,0.0914,0.0893
-1.95e-06,0.00195,0.000178
-3.32e-07,0.000332,2.46e-05
-3.25e-05,0.0325,0.0139
-2.34e-05,0.0234,0.0252
-9.43e-05,0.0943,0.073
-1.2e-06,0.0012,0.000107
-2.03e-05,0.0203,0.00363
-5.87e-05,0.0587,0.0777
-1.35e-06,0.00135,0.000122
-1.99e-06,0.00199,0.000167
-2.73e-06,0.00273,0.000284
-3.72e-05,0.0372,0.0288
-2.34e-05,0.0234,0.0237
-3.27e-06,0.00327,0.000348
-2.2e-06,0.0022,0.000215
-4.62e-05,0.0462,0.0496
-2.21e-06,0.00221,0.000196
-1.91e-05,0.0191,0.00844
-2.43e-05,0.0243,0.0259
-4.71e-05,0.0471,0.049
-7.23e-07,0.000723,5.72e-05
-2.2e-06,0.0022,0.000195
-1.23e-06,0.00123,9.94e-05
-1.13e-06,0.00113,9.46e-05
-3.73e-05,0.0373,0.0463
-7.37e-05,0.0737,0.0541
-3.2e-05,0.032,0.0143
-0.000138,0.138,0.071
-3.74e-05,0.0374,0.0154
-2.72e-05,0.0272,0.0184
-2.37e-06,0.00237,0.000207
-3.84e-06,0.00384,0.000376
-4.56e-05,0.0456,0.049
-1.8e-06,0.0018,0.000177
-5.17e-05,0.0517,0.0236
-1.58e-06,0.00158,0.000136
-1.89e-05,0.0189,0.00683
-1.28e-06,0.00128,0.000112
-2.16e-05,0.0216,0.00896
-1.17e-06,0.00117,0.000101
-1.61e-06,0.00161,0.000134
-2.55e-06,0.00255,0.000312
-6.41e-05,0.0641,0.0578
-4.45e-05,0.0445,0.037
-6e-07,0.0006,4.77e-05
-1.53e-05,0.0153,0.0621
-6.38e-06,0.00638,0.000783
-4.44e-05,0.0444,0.0314
-1.56e-06,0.00156,0.00015
-3.28e-05,0.0328,0.0444
-3.73e-06,0.00373,0.000374
-2.74e-06,0.00274,0.000265
-2.53e-06,0.00253,0.000242
-3.57e-05,0.0357,0.0399
-2.26e-05,0.0226,0.015
-3.23e-05,0.0323,0.0154
-2.52e-06,0.00252,0.000243
-3.58e-05,0.0358,0.0362
-6.61e-05,0.0661,0.0328
-1.58e-05,0.0158,0.00547
-1.49e-06,0.00149,0.000125
-3.81e-05,0.0381,0.0339
-1.97e-06,0.00197,0.000186
-3.83e-05,0.0383,0.0246
-1.03e-06,0.00103,8.35e-05
-8.01e-05,0.0801,0.0745
-2.52e-05,0.0252,0.0175
-6.04e-05,0.0604,0.0429
-3.75e-05,0.0375,0.046
-1.98e-05,0.0198,0.0414
